place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,is_temporarily_closed,closed_on,phone,review_keywords
ChIJCTFWNGJnUjoRRrZvTwEEO1k,Reliance Digital,1895,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Shop No LG36, Cricket Ground, Market City, Velachery Main Rd, near GURU NANAK COLLEGE, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52676234563109:0x593b04014f6fb646!8m2!3d12.991225!4d80.2219801!16s%2Fg%2F124sqrszk!19sChIJCTFWNGJnUjoRRrZvTwEEO1k?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJB3KJft1nUjoRXPTlwiVNPmM,Reliance Digital,3104,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.9,"UGF Nexus, Vijaya Mall, No 183/188, TS No 5, 1 & 3 to 5, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5267dd7e897207:0x633e4d25c2e5f45c!8m2!3d13.0497984!4d80.2093678!16s%2Fg%2F11tjpwzz5b!19sChIJB3KJft1nUjoRXPTlwiVNPmM?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJIcVfQctnUjoRtw-8mtvioIQ,Reliance Digital,624,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.3,"No 42/2, 44/2 & 3, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5267cb415fc521:0x84a0e2db9abc0fb7!8m2!3d13.0508105!4d80.2335644!16s%2Fg%2F11h_wmcs5j!19sChIJIcVfQctnUjoRtw-8mtvioIQ?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJW74vVOFjUjoR0_diensYboY,Reliance Digital,2851,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Plot No, 3 & PC 11, Kambar St, near Bus Depot, Mogappair West, Mogappair, Tiruvallur, Chennai, Tamil Nadu 600037",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5263e1542fbe5b:0x866e187b7a62f7d3!8m2!3d13.0837019!4d80.170525!16s%2Fg%2F1hc8fb_4z!19sChIJW74vVOFjUjoR0_diensYboY?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJqaWFUL9hUjoRNKURYkIOd7k,Reliance Digital,888,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"1st & 2nd Floor, Door No 82, Plot A, Arcot Rd, Majestic Colony, Valasaravakkam, Tiruvallur, Tamil Nadu 600087",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5261bf5085a5a9:0xb9770e426211a534!8m2!3d13.0417829!4d80.1801049!16s%2Fg%2F11f7761267!19sChIJqaWFUL9hUjoRNKURYkIOd7k?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJV-XUiOFjUjoRD6r7bDUAXN0,Reliance Digital,532,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.9,"No 269, Ground & 1st Floor Brittania, Thangam Lodge, Madras Thiruvallur High Rd, Kamaraj Nagar, Padi, Chennai, Tamil Nadu 600050",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5263e188d4e557:0xdd5c00356cfbaa0f!8m2!3d13.099121!4d80.1835328!16s%2Fg%2F11v6nmqx6g!19sChIJV-XUiOFjUjoRD6r7bDUAXN0?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJTyorIlhnUjoRMEJo6Fw-DeE,Reliance Digital,2718,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Block W119, 34, 3rd Ave, opposite Kandaswamy Naidu College, W Block, Anna Nagar, Chennai, Tamil Nadu 600040",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a526758222b2a4f:0xe10d3e5ce8684230!8m2!3d13.0871934!4d80.2176854!16s%2Fg%2F11hytmpbd1!19sChIJTyorIlhnUjoRMEJo6Fw-DeE?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJNZ2ZO_9lUjoRLPs5hyfBq2c,Reliance Digital,1450,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"2nd Floor, VR Mall, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600040",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5265ff3b999d35:0x67abc1278739fb2c!8m2!3d13.0792925!4d80.1977597!16s%2Fg%2F11g1kt6nqs!19sChIJNZ2ZO_9lUjoRLPs5hyfBq2c?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ5Zly6xpmUjoRCtVU2R_s_mo,Reliance Digital,906,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.0,"No 47, Ground & 1st Floor, Meco House, Mount Rd, Border Thottam, Padupakkam, Annasalai, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52661aeb7299e5:0x6afeec1fd954d50a!8m2!3d13.0666015!4d80.2703314!16s%2Fg%2F11bztgyr8z!19sChIJ5Zly6xpmUjoRCtVU2R_s_mo?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJK863Hi1mUjoRzULo83AiXeA,Reliance Digital,2079,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.3,"No 201, Guru Towers, Royapettah High Rd, Vinayagar Kovil, Luz, Mylapore, Chennai, Tamil Nadu 600004",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52662d1eb7ce2b:0xe05d2270f3e842cd!8m2!3d13.0383521!4d80.2677095!16s%2Fg%2F11b7hm_316!19sChIJK863Hi1mUjoRzULo83AiXeA?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJQRyr2sjWuDsRkIrTksgyRr4,Reliance Digital,671,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.0,"No 78 & 79, Madhavaram High Rd, Perambur, Chennai, Tamil Nadu 600011",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3bb8d6c8daab1c41:0xbe4632c892d38a90!8m2!3d13.1087539!4d80.2444617!16s%2Fg%2F11b7hfjss3!19sChIJQRyr2sjWuDsRkIrTksgyRr4?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ0ebBDopkUjoRKaU24KpUVgY,Reliance Digital,3098,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Venus Nagar, Plot No 28 & 29, 100 Feet Rd, Annai Sivasakthi Nagar, Kolathur, Chennai, Tamil Nadu 600099",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52648a0ec1e6d1:0x65654aae036a529!8m2!3d13.1256038!4d80.2054982!16s%2Fg%2F11btvldjyh!19sChIJ0ebBDopkUjoRKaU24KpUVgY?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ78XkZ3NcUjoRPe-MFfFreU4,Reliance Digital,2962,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.2,"Plot No 1 & 2, Ground, 1st & 2nd Floor, Perumbakkam Main Rd, Puthu Nagar, Radha Nagar, Medavakkam, Chennai, Tamil Nadu 600100",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a525c7367e4c5ef:0x4e796bf1158cef3d!8m2!3d12.9092412!4d80.1972311!16s%2Fg%2F11f2ck26k6!19sChIJ78XkZ3NcUjoRPe-MFfFreU4?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJy1_YyWRlUjoRH80xWLkryNs,Reliance Digital,146,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.6,"Ground to 3rd Floor, Plot No 10, Paper Mills Road, Anjugam Nagar, SRP Colony, Kolathur, Chennai, Tamil Nadu 600082",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a526564c9d85fcb:0xdbc82bb95831cd1f!8m2!3d13.1196109!4d80.2248563!16s%2Fg%2F11txlv3qkp!19sChIJy1_YyWRlUjoRH80xWLkryNs?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJp_ijRXliUjoRBLkxzezLl5Q,Reliance Digital,1543,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"No 6/11, No 5A & B, Block 5, ALPHA LOTUS TOWER, 6 & 9 & 10, 1st Main Rd, Vivekananda Nagar, TNHB Mig V Block, Avadi, Tamil Nadu 600054",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52627945a3f8a7:0x9497cbeccd31b904!8m2!3d13.1148791!4d80.1031275!16s%2Fg%2F11fjsdrzmm!19sChIJp_ijRXliUjoRBLkxzezLl5Q?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJkVAJWgBlUjoRPQ7OFfx2uFk,Reliance Digital,18,Electronics store,Electronics store,3.3,"46G4+63W, Mallima Nagar, Vilangadupakkam, Red Hills, Chennai, Tamil Nadu 600052",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5265005a095091:0x59b876fc15ce0e3d!8m2!3d13.1256175!4d80.2051889!16s%2Fg%2F11vt4yt8rm!19sChIJkVAJWgBlUjoRPQ7OFfx2uFk?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJnxBL8KFbUjoRY0xd6eAMWcU,Reliance Digital,2030,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",3.9,"Tech Pumps Tower, No 3/62, MR Road, Rajiv Gandhi Salai, Semmancheri, Navalur, Chennai, Tamil Nadu 600119",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a525ba1f04b109f:0xc5590ce0e95d4c63!8m2!3d12.8747906!4d80.2271136!16s%2Fg%2F11c5dk88b6!19sChIJnxBL8KFbUjoRY0xd6eAMWcU?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtZZGzxplUjoRHPzpjpBDcwA,Reliance Digital Peravallur,143,Electronics store,Electronics store,4.4,"11-12, 11-12, Paper Mills Road, Anjugam Nagar, SRP Colony, Perambur, Chennai, Tamil Nadu 600048",https://www.google.com/maps/place/Reliance+Digital+Peravallur/data=!4m7!3m6!1s0x3a52651acf4696b5:0x7343908ee9fc1c!8m2!3d13.1196515!4d80.2247083!16s%2Fg%2F11ts403fhy!19sChIJtZZGzxplUjoRHPzpjpBDcwA?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ5wv15gtlUjoRNcDO_jrZeGk,Reliance Digital Xpress Mini,92,Electronics store,Electronics store,3.9,"No 7, Mr Nagar, Tondiarpet High Rd, near Relaince Fresh Super Market, Kodungaiyur, Chennai, Tamil Nadu 600118",https://www.google.com/maps/place/Reliance+Digital+Xpress+Mini/data=!4m7!3m6!1s0x3a52650be6f50be7:0x6978d93afecec035!8m2!3d13.13148!4d80.2493926!16s%2Fg%2F11c5s62c6l!19sChIJ5wv15gtlUjoRNcDO_jrZeGk?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJz-Y71llnUjoRXon0XYbZgYg,Reliance Digital Express Mini,279,Cell phone store,Cell phone store,3.9,"58/59, Medavakkam Main Rd, Nanganallur, Jeevan Nagar, Adambakkam, Chennai, Tamil Nadu 600088",https://www.google.com/maps/place/Reliance+Digital+Express+Mini/data=!4m7!3m6!1s0x3a526759d63be6cf:0x8881d9865df4895e!8m2!3d12.9916!4d80.198766!16s%2Fg%2F11c1pmw_wn!19sChIJz-Y71llnUjoRXon0XYbZgYg?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJSSXpXOhmUjoR3wQso9ITEqY,Reliance Jio Digital Xpress Mini,276,Electronics store,Electronics store,3.8,"No. 3, Ellai Muthalamman Koil Street, 100 Feet Road, Vadapalani, Chennai, Tamil Nadu 600026",https://www.google.com/maps/place/Reliance+Jio+Digital+Xpress+Mini/data=!4m7!3m6!1s0x3a5266e85ce92549:0xa61213d2a32c04df!8m2!3d13.0489531!4d80.2118648!16s%2Fg%2F11cr_h4q60!19sChIJSSXpXOhmUjoR3wQso9ITEqY?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJU-9xxVhmUjoRzmYYt1dHcrk,My Jio Store,484,Electronics store,Electronics store,3.6,"39, N Usman Rd, Darmapuram, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/My+Jio+Store/data=!4m7!3m6!1s0x3a526658c571ef53:0xb9724757b71866ce!8m2!3d13.0515072!4d80.234089!16s%2Fg%2F1q5bmgzst!19sChIJU-9xxVhmUjoRzmYYt1dHcrk?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ0SxCWVtvUjoR9jf4z8BUAVo,Reliance Digital Xpress Mini And Jio Store,202,Electronics store,Electronics store,3.7,"No: 65, 33, Muthialpet, George Town, Chennai, Tamil Nadu 600001",https://www.google.com/maps/place/Reliance+Digital+Xpress+Mini+And+Jio+Store/data=!4m7!3m6!1s0x3a526f5b59422cd1:0x5a0154c0cff837f6!8m2!3d13.099563!4d80.2869108!16s%2Fg%2F11c206pczx!19sChIJ0SxCWVtvUjoR9jf4z8BUAVo?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJe9xHClJkUjoRx9i6qDNZ9hI,Reliance Digital Xpress Mini,166,Cell phone store,Cell phone store,3.8,"4, 70 Feet Rd, Anjugam Nagar, Jawahar Nagar, Kolathur, Chennai, Tamil Nadu 600082",https://www.google.com/maps/place/Reliance+Digital+Xpress+Mini/data=!4m7!3m6!1s0x3a5264520a47dc7b:0x12f65933a8bad8c7!8m2!3d13.1162783!4d80.2279257!16s%2Fg%2F11clt6k86b!19sChIJe9xHClJkUjoRx9i6qDNZ9hI?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJIe7BGNBnUjoRJB287kAItjw,Reliance Digital Xpress Mini,11,Electronics store,Electronics store,3.8,"Ground Floor, C.L.S Building, Old No81/1, New No165, Rk Mutt Road, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028",https://www.google.com/maps/place/Reliance+Digital+Xpress+Mini/data=!4m7!3m6!1s0x3a5267d018c1ee21:0x3cb60840eebc1d24!8m2!3d13.0263282!4d80.2660164!16s%2Fg%2F11d_8dnzx4!19sChIJIe7BGNBnUjoRJB287kAItjw?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJL1OxNIhmUjoRe_00Oq_icJo,Jio Digital Life,157,Cell phone store,"Cell phone store, Electronics store",3.4,"12, Nelson Manickam Rd, Sakthi Nagar, Thiruvalluvar Puram, Choolaimedu, Chennai, Tamil Nadu 600094",https://www.google.com/maps/place/Jio+Digital+Life/data=!4m7!3m6!1s0x3a52668834b1532f:0x9a70e2af3a34fd7b!8m2!3d13.0664288!4d80.2310205!16s%2Fg%2F11c54djtv0!19sChIJL1OxNIhmUjoRe_00Oq_icJo?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJq6cNWACLUjoRkxlEs3tcUL8,Kundrathur Vasanth and Co,12,Appliance store,Appliance store,3.3,": 159, Bazaar St, Kundrathur, Kancheepuram, Tamil Nadu 600069",https://www.google.com/maps/place/Kundrathur+Vasanth+and+Co/data=!4m7!3m6!1s0x3a528b00580da7ab:0xbf505c7bb3441993!8m2!3d12.9979524!4d80.0965194!16s%2Fg%2F11vs235k3b!19sChIJq6cNWACLUjoRkxlEs3tcUL8?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJzyUPYRphUjoRBJQhC63p_V8,VASANTH & CO,1986,Appliance store,"Appliance store, Air conditioning system supplier, Cell phone store, Countertop store, Electrical products wholesaler, Electronics Company, Kitchen furniture store, Outlet mall, Refrigerator store",3.7,"3, Arcot Rd, Karambakkam, Rajeswari Nagar, Porur, Chennai, Tamil Nadu 600116",https://www.google.com/maps/place/VASANTH+%26+CO/data=!4m7!3m6!1s0x3a52611a610f25cf:0x5ffde9ad0b219404!8m2!3d13.0377692!4d80.1593461!16s%2Fg%2F1tg144vg!19sChIJzyUPYRphUjoRBJQhC63p_V8?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJfVdMCHJfUjoRI48ltZLsMLY,VASANTH & CO,1126,Appliance store,"Appliance store, Air conditioning system supplier, Cell phone store, Countertop store, Electrical products wholesaler, Electronics Company, Kitchen furniture store, Outlet mall, Refrigerator store",3.7,"Door No.12, New, No.40, Rajaji Rd, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",https://www.google.com/maps/place/VASANTH+%26+CO/data=!4m7!3m6!1s0x3a525f72084c577d:0xb630ec92b5258f23!8m2!3d12.9283938!4d80.1155086!16s%2Fg%2F1hm58c08x!19sChIJfVdMCHJfUjoRI48ltZLsMLY?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ6dxeXABnUjoRjFWTHH41zc8,VASANTH & CO,215,Appliance store,"Appliance store, Air conditioning system supplier, Cell phone store, Countertop store, Electrical products wholesaler, Electronics Company, Kitchen furniture store, Outlet mall, Refrigerator store",2.9,": 50, S Usman Road, near Raju hospital, Kannammapet, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/VASANTH+%26+CO/data=!4m7!3m6!1s0x3a5267005c5edce9:0xcfcd357e1c93558c!8m2!3d13.0327115!4d80.2304074!16s%2Fg%2F1tfhy04t!19sChIJ6dxeXABnUjoRjFWTHH41zc8?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJGe2yef1dUjoRC2xvLjpNkqQ,VASANTH & CO,527,Appliance store,"Appliance store, Air conditioning system supplier, Cell phone store, Countertop store, Electrical products wholesaler, Electronics Company, Kitchen furniture store, Outlet mall, Refrigerator store",3.8,"No.25A, New, Old 30A, 4th Main Rd, Nanganallur, Chennai, Tamil Nadu 600061",https://www.google.com/maps/place/VASANTH+%26+CO/data=!4m7!3m6!1s0x3a525dfd79b2ed19:0xa4924d3a2e6f6c0b!8m2!3d12.9838174!4d80.1882635!16s%2Fg%2F1tklnzmz!19sChIJGe2yef1dUjoRC2xvLjpNkqQ?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJd0XuKYldUjoR6ns5-8NKMAc,VASANTH & CO,1126,Appliance store,"Appliance store, Air conditioning system supplier, Cell phone store, Countertop store, Electrical products wholesaler, Electronics Company, Kitchen furniture store, Outlet mall, Refrigerator store",3.4,"17, Velachery Bypass Rd, opposite to MURUGAN PALACE, Velachery, Chennai, Tamil Nadu 600042",https://www.google.com/maps/place/VASANTH+%26+CO/data=!4m7!3m6!1s0x3a525d8929ee4577:0x7304ac3fb397bea!8m2!3d12.9838085!4d80.2182128!16s%2Fg%2F124s_sxwl!19sChIJd0XuKYldUjoR6ns5-8NKMAc?authuser=0&hl=en&rclk=1,vasanth & co in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
